,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km),MakeAvg,Engine/Cylinders
3080,16,MID-SIZE,1.8,4.0,AS6,X,11.013215859030836,46.89186058993351,7.91,200.0,0.31251434751127427,0.45
3083,17,SUV - SMALL,2.0,4.0,AS6,X,3.875968992248062,15.9,5.88,238.0,1.0,0.5
3096,15,COMPACT,2.0,4.0,M6,Z,6.501950585175552,11.507479861910243,8.084074373484237,207.0,0.2328061192239942,0.5
3098,7,SUV - SMALL,3.3,6.0,A6,X,20.32,9.990009990009991,13.87,503.1835535210495,0.3722649650185522,0.5499999999999999
3105,14,SUV - SMALL,3.2,6.0,A9,X,21.45158153348704,5.136106831022086,4.3591979075850045,245.0,0.014703742880091549,0.5333333333333333
3108,1,STATION WAGON - SMALL,1.8,4.0,AV7,X,3.3,8.928571428571427,4.606172270842929,197.0,0.3734598273946921,0.45
3114,15,COMPACT,3.0,6.0,AM7,Z,49.88616012157986,24.390243902439025,9.398496240601503,295.0,0.2328061192239942,0.5
3116,15,SUBCOMPACT,1.8,4.0,M6,Z,3.9231071008238527,9.433962264150944,5.32,226.0,0.2328061192239942,0.45
3121,14,SUV - SMALL,3.2,6.0,A9,X,15.748031496062993,5.63,8.710801393728223,245.0,0.014703742880091549,0.5333333333333333
3126,1,FULL-SIZE,1.5,4.0,M6,X,18.911262667679363,21.09704641350211,5.4854635216675804,171.0,0.3734598273946921,0.375
3128,17,SUV - STANDARD,3.0,6.0,AS6,E,4.56,50.73360338525336,5.22466039707419,297.0,1.0,0.5
3135,17,MID-SIZE,2.5,4.0,AS6,X,10.91703056768559,10.235414534288639,10.604453870625663,210.0,1.0,0.625
3136,10,SUV - STANDARD,3.5,6.0,AV6,X,11.750881316098708,29.48,16.11,184.0,0.13075557709860083,0.5833333333333334
3137,6,SUV - STANDARD,3.8,6.0,AS8,X,10.204081632653061,45.702218113558466,9.22509225092251,260.0,0.34317101657882515,0.6333333333333333
3140,19,MID-SIZE,6.5,12.0,A6,X,13.92757660167131,35.71428571428571,19.13,213.0,0.11778104235512704,0.5416666666666666
3143,17,SUBCOMPACT,2.3,4.0,AS10,X,17.358845583019118,9.32,4.470272686633884,226.0,1.0,0.575
3147,17,PICKUP TRUCK - STANDARD,3.5,6.0,A6,X,38.10478298711514,8.305647840531561,7.462686567164178,311.0,1.0,0.5833333333333334
3152,17,COMPACT,1.0,3.0,AS6,X,15.600624024960998,5.159958720330238,8.17,124.0,1.0,0.3333333333333333
3157,2,COMPACT,2.0,4.0,AS6,X,20.52,39.8406374501992,26.26,187.0,0.0,0.5
3170,5,COMPACT,3.3,6.0,M6,D,25.67,15.151515151515152,19.53125,294.99881884327925,0.18105332461859827,0.5499999999999999
3174,14,SUV - SMALL,2.4,4.0,A9,X,25.64102564102564,7.518796992481203,12.315270935960593,243.0,0.014703742880091549,0.6
3175,15,SUV - SMALL,4.4,8.0,AS8,Z,39.2083749992938,15.55,7.1,202.0,0.2328061192239942,0.55
3176,16,SUV - SMALL,2.4,4.0,A6,E,21.07,10.989010989010989,14.903129657228018,243.0,0.31251434751127427,0.6
3177,7,MINIVAN,3.3,6.0,AS6,X,4.76,6.12,5.285412262156448,296.0,0.3722649650185522,0.5499999999999999
3179,16,COMPACT,1.4,4.0,M6,X,35.71428571428571,17.97040382849134,6.49772579597141,108.0,0.31251434751127427,0.35
3182,1,STATION WAGON - SMALL,1.8,4.0,AV7,X,8.29,7.85,8.09,191.0,0.3734598273946921,0.45
3183,2,COMPACT,2.5,4.0,AS6,X,5.955926146515783,6.28,6.0938452163315056,101.0,0.0,0.625
3184,6,SUBCOMPACT,3.8,6.0,M6,Z,9.75609756097561,22.627655082472074,6.009615384615384,294.0,0.34317101657882515,0.6333333333333333
3185,7,MID-SIZE,2.4,4.0,AM6,X,7.45,8.5,7.892659826361484,165.0,0.3722649650185522,0.6
3187,17,SUV - STANDARD,3.5,6.0,AS6,X,1.66,22.84,2.8506271379703536,379.0,1.0,0.5833333333333334
3188,17,PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,15.71234261444007,10.741138560687432,4.24,300.0,1.0,0.45
3194,4,SUV - SMALL,1.5,4.0,AV8,X,15.384615384615383,7.575757575757576,10.526315789473685,203.0,0.10750999072159767,0.375
3203,17,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,1.9960079840319362,14.771048744460858,3.2690421706440014,260.0,1.0,0.45
3207,1,MID-SIZE,2.0,4.0,A6,X,26.57,26.84,27.027027027027028,205.0,0.3734598273946921,0.5
3220,16,SUBCOMPACT,5.0,8.0,M5,X,10.4,11.415525114155251,10.834236186348862,169.0,0.31251434751127427,0.625
3221,18,MID-SIZE,6.2,8.0,AS8,Z,5.017561465127948,37.728439451439925,5.694760820045558,431.0,0.40917622032231027,0.775
3222,10,SUV - STANDARD,2.0,4.0,AS6,X,3.952569169960474,15.17,5.92,345.0,0.13075557709860083,0.5
3224,11,MID-SIZE,2.0,4.0,AS8,Z,3.527336860670194,27.661249872128028,4.07,203.0,0.03366713263218451,0.5
3229,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,5.02,55.55555555555556,8.503401360544219,299.0,1.0,0.625
3236,17,SUV - SMALL,2.0,4.0,AS6,X,11.6,17.513134851138354,13.679890560875513,217.0,1.0,0.5
3246,16,SUV - SMALL,1.6,4.0,A6,D,19.64636542239686,12.75,15.81,198.0,0.31251434751127427,0.4
3248,17,PICKUP TRUCK - STANDARD,3.5,6.0,A6,E,5.470459518599562,8.51063829787234,6.51890482398957,283.0,1.0,0.5833333333333334
3250,17,FULL-SIZE,3.5,6.0,AS6,X,19.62,9.718172983479107,13.458950201884253,264.0,1.0,0.5833333333333334
3254,19,MID-SIZE,3.5,6.0,A8,X,4.4189129474149365,16.233766233766232,6.578947368421052,230.0,0.11778104235512704,0.5833333333333334
3255,5,STATION WAGON - SMALL,1.8,4.0,M6,X,5.46,6.451612903225806,5.861664712778429,224.0,0.18105332461859827,0.45
3259,16,SUV - STANDARD,5.3,8.0,A6,X,3.76,3.23,3.5014005602240896,331.0,0.31251434751127427,0.6625
3264,12,MID-SIZE,2.0,4.0,AV,X,4.25531914893617,9.000900090009,5.583472920156337,189.0,0.22159697078984808,0.5
3265,5,COMPACT,2.0,4.0,AS6,X,8.045052292839904,55.55555555555556,13.106159895150721,210.0,0.18105332461859827,0.5
3266,7,COMPACT,3.5,6.0,M6,X,8.992805755395684,13.123359580052494,10.471204188481675,154.0,0.3722649650185522,0.5833333333333334
3270,19,FULL-SIZE,3.6,6.0,A5,X,9.398496240601503,17.34,11.83431952662722,282.0,0.11778104235512704,0.6
3272,1,COMPACT,2.0,4.0,AV,X,6.94,9.433962264150942,7.874015748031496,181.0,0.3734598273946921,0.5
3278,14,SUV - SMALL,2.4,4.0,A6,X,10.43,5.1894135962636225,7.168458781362007,234.0,0.014703742880091549,0.6
3285,5,COMPACT,1.4,4.0,AS8,X,46.972377546462305,13.774104683195592,10.256410256410257,120.0,0.18105332461859827,0.35
3286,7,STATION WAGON - SMALL,1.6,4.0,M6,X,7.363770250368188,8.620689655172415,7.867820613690007,206.0,0.3722649650185522,0.4
3288,4,SUV - SMALL,2.4,4.0,AV6,X,40.11231448054553,19.23076923076923,7.518796992481203,223.0,0.10750999072159767,0.6
3291,5,SUBCOMPACT,4.6,8.0,AM6,Z,10.471204188481675,11.098779134295228,10.75,214.0,0.18105332461859827,0.575
3292,16,MID-SIZE,3.6,6.0,AS6,D,9.900990099009901,7.15307582260372,8.4530853761623,186.0,0.31251434751127427,0.6
3296,13,MID-SIZE,3.5,6.0,AS6,X,6.78,3.98406374501992,5.151983513652756,223.0,0.4616911152907516,0.5833333333333334
3297,16,TWO-SEATER,6.2,8.0,AS8,Z,9.066183136899365,10.416666666666668,9.624639076034649,343.0,0.31251434751127427,0.775
3298,17,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,11.750881316098708,24.691358024691358,15.384615384615385,245.0,1.0,0.45
3304,19,TWO-SEATER,1.6,4.0,M6,Z,23.38,7.88,12.406947890818858,365.0,0.11778104235512704,0.4
3305,16,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,5.21,10.706638115631693,6.7704807041299935,367.0,0.31251434751127427,0.6
3313,19,FULL-SIZE,3.6,6.0,A8,X,4.08997955010225,26.246719160104988,6.596306068601583,253.0,0.11778104235512704,0.6
3317,3,STATION WAGON - SMALL,1.4,4.0,M6,X,13.157894736842104,7.77,10.0,183.0,0.567858610062776,0.35
3321,15,SUBCOMPACT,4.4,8.0,M6,Z,27.65489850454512,36.270108250698485,4.405286343612334,307.0,0.2328061192239942,0.55
3324,18,FULL-SIZE,2.5,4.0,AS8,Z,20.3,7.13,11.09,271.0,0.40917622032231027,0.625
3326,1,MINIVAN,3.5,6.0,A6,X,3.89,9.523809523809524,5.3,260.0,0.3734598273946921,0.5833333333333334
3336,12,PICKUP TRUCK - SMALL,2.5,4.0,A5,X,25.67,11.947431302270013,16.949152542372882,306.0,0.22159697078984808,0.625
3337,15,COMPACT,3.0,6.0,A8,Z,6.62,7.48,6.983240223463687,228.0,0.2328061192239942,0.5
3338,17,SUV - SMALL,2.0,4.0,AS8,X,4.86,5.69,5.2,209.0,1.0,0.5
3340,2,MINIVAN,2.5,4.0,M6,X,12.658227848101266,13.03,12.81,222.0,0.0,0.625
3342,8,MINICOMPACT,2.0,4.0,AS6,Z,16.39344262295082,6.96,10.17,207.0,0.16651708420640168,0.5
3343,19,FULL-SIZE,3.6,6.0,A8,X,5.385029617662897,15.037593984962406,7.57,230.0,0.11778104235512704,0.6
3345,14,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,33.894439681748715,8.849557522123895,7.142857142857143,290.0,0.014703742880091549,0.6
3357,4,SUV - SMALL,1.8,4.0,AV6,X,4.952947003467062,22.172949002217297,7.61,425.1266504020961,0.10750999072159767,0.45
3373,17,SUV - SMALL,2.0,4.0,AS6,X,30.48780487804878,13.106159895150721,19.1,231.0,1.0,0.5
3374,14,SUV - STANDARD,5.7,8.0,A8,X,6.172839506172839,33.965004094687814,6.16,342.0,0.014703742880091549,0.7125
3375,13,SUBCOMPACT,3.5,6.0,AS6,Z,6.622516556291391,5.382131324004306,5.99,267.0,0.4616911152907516,0.5833333333333334
3377,15,COMPACT,3.0,6.0,AS8,Z,16.077170418006432,16.39344262295082,16.26,219.0,0.2328061192239942,0.5
3381,15,SUBCOMPACT,4.4,8.0,AS8,Z,31.46839319107586,71.95217972690445,5.75,399.1653781940631,0.2328061192239942,0.55
3387,11,COMPACT,3.0,6.0,AS6,X,3.39,13.75515818431912,5.13,248.0,0.03366713263218451,0.5
3389,17,SUV - SMALL,1.5,3.0,A8,X,6.357279084551812,14.367816091954023,8.474576271186441,200.0,1.0,0.5
3394,11,COMPACT,2.0,4.0,AS8,Z,10.526315789473685,20.0,13.440860215053762,232.0,0.03366713263218451,0.5
3395,2,MID-SIZE,2.5,4.0,M6,X,9.066183136899365,2.44,22.557090669532975,186.0,0.0,0.625
3398,10,SUV - SMALL,2.5,4.0,AS6,X,7.17,5.47,6.289308176100628,204.0,0.13075557709860083,0.625
3399,11,SUV - SMALL,3.2,6.0,AS6,X,4.182350480970305,11.14,5.817335660267597,252.0,0.03366713263218451,0.5333333333333333
3401,17,SUV - STANDARD,3.5,6.0,AS6,X,4.642525533890437,6.73,5.396654074473826,334.0,1.0,0.5833333333333334
3406,6,MID-SIZE,2.0,4.0,AS6,X,6.8965517241379315,62.11180124223602,11.48105625717566,140.0,0.34317101657882515,0.5
3411,2,TWO-SEATER,2.0,4.0,AS6,Z,32.25806451612903,15.89,21.92982456140351,188.0,0.0,0.5
3412,15,COMPACT,4.4,8.0,AS8,Z,5.89,6.090133982947624,5.9880239520958085,295.0,0.2328061192239942,0.55
3414,15,COMPACT,1.4,4.0,M6,Z,3.8255547054322876,4.52,4.11522633744856,307.0,0.2328061192239942,0.35
3416,16,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,4.0,6.45,4.82392667631452,297.0,0.31251434751127427,0.6625
3422,17,SUBCOMPACT,5.2,8.0,M6,Z,2.56,2.9489826010026543,2.7233115468409586,360.0,1.0,0.65
3425,15,SUV - STANDARD,4.4,8.0,A8,Z,7.886435331230284,6.222775357809583,7.04,328.0,0.2328061192239942,0.55
3428,4,COMPACT,2.4,4.0,AV6,X,9.41,5.14,6.854009595613434,208.0,0.10750999072159767,0.6
3433,4,SUV - SMALL,3.0,6.0,AS6,Z,5.141388174807198,4.444444444444445,4.798464491362764,232.0,0.10750999072159767,0.5
3436,4,SUV - SMALL,2.4,4.0,AV6,X,5.202913631633715,44.64285714285714,8.635578583765112,189.0,0.10750999072159767,0.6
3440,12,MID-SIZE,2.5,4.0,AV,X,6.68,6.459948320413437,6.578947368421053,189.0,0.22159697078984808,0.625
3442,12,COMPACT,6.2,8.0,AV,X,9.057971014492754,30.013396970098096,6.96,180.0,0.22159697078984808,0.775
3448,17,FULL-SIZE,2.5,4.0,AV,X,16.58374792703151,8.771929824561404,11.84,143.0,1.0,0.625
3451,13,MID-SIZE,2.0,4.0,AS8,Z,36.835533861008,4.72,4.651162790697675,318.0,0.4616911152907516,0.5
3453,11,STATION WAGON - MID-SIZE,2.0,4.0,AS8,Z,13.25,20.36659877800407,15.723270440251572,212.0,0.03366713263218451,0.5
3459,21,TWO-SEATER,5.2,10.0,AM7,Z,3.84,5.0352467270896275,4.291845493562231,367.0,0.13738198416456834,0.52
3461,18,FULL-SIZE,3.6,6.0,AS6,Z,38.75968992248062,35.21164205661196,11.764705882352942,289.0,0.40917622032231027,0.6
3465,15,SUBCOMPACT,4.4,8.0,AS8,Z,37.5134884719468,24.752475247524753,7.4,298.0,0.2328061192239942,0.55
3471,19,SUV - STANDARD,3.6,6.0,A8,X,4.347826086956522,10.141987829614605,5.85480093676815,273.0,0.11778104235512704,0.6
3474,1,SUV - SMALL,3.5,6.0,AS9,X,6.91,62.04,11.507479861910243,257.0,0.3734598273946921,0.5833333333333334
3487,4,SUV - SMALL,2.4,4.0,AV6,X,9.19,6.939625260235947,8.02,211.0,0.10750999072159767,0.6
3489,15,SUV - STANDARD,4.4,8.0,AS8,Z,7.35,3.86,5.22,356.0,0.2328061192239942,0.55
3494,12,MID-SIZE,5.3,8.0,AV,X,7.656967840735069,16.129032258064516,10.04,112.0,0.22159697078984808,0.6625
3495,7,COMPACT,1.6,4.0,M6,X,6.662225183211192,5.730659025787966,6.21,174.0,0.3722649650185522,0.4
3510,17,PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,20.449897750511248,3.021148036253776,5.6850483229107445,272.0,1.0,0.45
3513,16,PICKUP TRUCK - SMALL,3.6,6.0,A6,X,2.939447383891828,59.29278034835568,4.037141703673799,287.0,0.31251434751127427,0.6
3518,1,SUV - SMALL,3.5,6.0,AS9,X,45.225222171375634,11.28,7.2992700729927,250.0,0.3734598273946921,0.5833333333333334
3520,8,MINICOMPACT,2.0,4.0,M6,Z,10.93,8.403361344537815,9.615384615384615,240.0,0.16651708420640168,0.5
3524,16,SUV - SMALL,2.4,4.0,A6,E,4.9,2.36,3.3,236.0,0.31251434751127427,0.6
3527,16,MID-SIZE,1.4,4.0,A6,X,24.64,16.74,20.32520325203252,177.0,0.31251434751127427,0.35
3538,14,SUV - SMALL,3.2,6.0,A9,X,1.9477989871445265,15.48,3.21,260.0,0.014703742880091549,0.5333333333333333
3548,7,STATION WAGON - SMALL,2.4,4.0,A6,X,16.07,70.0939835195081,14.347202295552368,212.0,0.3722649650185522,0.6
3550,10,MID-SIZE,2.0,4.0,AS8,X,5.37,4.761904761904762,5.08130081300813,202.0,0.13075557709860083,0.5
3556,7,SUV - SMALL,5.0,8.0,AS6,X,5.12,8.52,6.238303181534622,279.0,0.3722649650185522,0.625
3559,12,TWO-SEATER,3.0,6.0,M6,Z,4.970178926441352,20.04008016032064,7.51,276.0,0.22159697078984808,0.5
3562,8,MINICOMPACT,2.0,4.0,M6,Z,5.555555555555555,6.42,5.913660555884092,472.289871059549,0.16651708420640168,0.5
3568,16,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.570824524312895,11.13,10.81081081081081,246.0,0.31251434751127427,0.7
3571,10,SUV - SMALL,2.5,4.0,AS8,X,7.08,8.849557522123895,7.788161993769471,191.0,0.13075557709860083,0.625
3582,15,SUV - SMALL,3.0,6.0,AS8,Z,3.99,10.82,5.571030640668524,282.0,0.2328061192239942,0.5
3588,5,STATION WAGON - SMALL,1.8,4.0,AS6,X,12.919896640826874,11.210762331838565,12.09,191.0,0.18105332461859827,0.45
3593,20,SUV - STANDARD,3.0,6.0,AS8,Z,4.701457451810061,5.434782608695652,5.005005005005005,302.0,0.07969935719583567,0.5
3594,11,STATION WAGON - MID-SIZE,2.0,4.0,AS8,Z,11.88,27.027027027027028,15.88,224.0,0.03366713263218451,0.5
3603,15,TWO-SEATER,3.0,6.0,M6,Z,24.05,36.92027818737536,8.32639467110741,258.0,0.2328061192239942,0.5
3608,17,COMPACT,1.6,4.0,M6,X,43.06781336383199,35.46099290780142,12.0,193.0,1.0,0.4
3610,14,SUV - SMALL,2.4,4.0,AV,X,7.092198581560284,8.59106529209622,7.7,248.0,0.014703742880091549,0.6
3616,1,FULL-SIZE,1.5,4.0,M6,X,24.83,7.46,12.13,189.0,0.3734598273946921,0.375
3622,19,FULL-SIZE,6.4,8.0,A8,Z,14.005602240896359,8.620689655172415,10.92,321.0,0.11778104235512704,0.8
3628,16,MID-SIZE,2.0,4.0,A6,X,6.172839506172839,18.867924528301888,8.85,147.0,0.31251434751127427,0.5
3629,17,COMPACT,2.0,4.0,M5,E,15.74,5.810575246949448,8.896797153024911,180.0,1.0,0.5
3633,17,FULL-SIZE,3.5,6.0,AS6,X,3.49,6.58,4.428697962798937,247.0,1.0,0.5833333333333334
3638,2,MID-SIZE,2.5,4.0,M6,X,12.706480304955527,51.01807055497083,10.86,191.0,0.0,0.625
3639,17,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,46.94885607548261,7.79,8.130081300813009,252.0,1.0,0.625
3641,7,COMPACT,1.6,4.0,M6,X,48.586747117280495,8.375209380234507,6.939625260235947,96.0,0.3722649650185522,0.4
3642,14,SUV - SMALL,2.4,4.0,A9,X,4.1118421052631575,17.18,6.25,218.0,0.014703742880091549,0.6
3643,3,SUV - SMALL,2.4,4.0,A9,X,6.11,3.9603960396039604,4.911591355599215,224.0,0.567858610062776,0.6
3644,14,SUV - STANDARD,5.7,8.0,A8,X,3.430531732418525,4.63,3.88,354.0,0.014703742880091549,0.7125
3646,19,SUV - SMALL,3.6,6.0,A6,E,7.2992700729927,49.01960784313725,11.83431952662722,247.0,0.11778104235512704,0.6
3651,12,TWO-SEATER,2.0,4.0,AS7,Z,32.76780619537522,15.453606433663364,3.388681802778719,283.0,0.22159697078984808,0.5
3657,2,SUV - SMALL,3.7,6.0,AS6,X,3.354579000335458,8.19672131147541,4.568296025582458,306.0,0.0,0.6166666666666667
3658,19,SUV - STANDARD,2.0,4.0,A8,X,9.51,20.86354475899452,5.64652738565782,281.0,0.11778104235512704,0.5
3660,2,COMPACT,2.0,4.0,AS6,X,15.477127904643064,5.580357142857142,19.9462073907862,195.0,0.0,0.5
3664,11,SUV - SMALL,2.0,4.0,AS8,Z,6.365372374283895,20.70393374741201,9.25925925925926,223.0,0.03366713263218451,0.5
3666,12,TWO-SEATER,3.7,6.0,M6,Z,6.414368184733804,17.63668430335097,8.99,281.0,0.22159697078984808,0.6166666666666667
3671,15,SUV - STANDARD,3.0,6.0,AS8,Z,4.61,7.08,5.47,268.0,0.2328061192239942,0.5
3672,16,SUV - SMALL,1.4,4.0,M6,X,21.27659574468085,4.1,7.374631268436578,201.0,0.31251434751127427,0.35
3674,17,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,4.448398576512456,7.4074074074074066,5.405405405405405,256.0,1.0,0.625
3680,11,SUV - SMALL,2.0,4.0,AS8,Z,27.372417416653956,46.14912606217278,25.826575135711373,230.0,0.03366713263218451,0.5
3685,15,SUBCOMPACT,3.0,6.0,AS8,Z,5.0,4.6,4.81000481000481,218.0,0.2328061192239942,0.5
3691,20,SUV - STANDARD,3.0,6.0,AS8,Z,3.916960438699569,5.9417706476530014,4.63,329.0,0.07969935719583567,0.5
3700,16,COMPACT,1.8,4.0,M5,X,10.16260162601626,7.33,8.66,200.0,0.31251434751127427,0.45
3706,15,SUV - SMALL,3.0,6.0,AS8,Z,18.887741196699665,39.11620623924227,4.4503782821539835,345.0,0.2328061192239942,0.5
3711,16,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,9.78,19.23076923076923,12.58,288.0,0.31251434751127427,0.6625
3715,16,SUBCOMPACT,3.6,6.0,AS10,X,9.85,17.42,12.195121951219512,249.0,0.31251434751127427,0.6
3716,15,SUBCOMPACT,3.0,6.0,AS8,Z,6.95,40.45129178601493,5.955926146515783,367.7967328009122,0.2328061192239942,0.5
3720,10,PICKUP TRUCK - SMALL,2.7,4.0,A4,X,5.1894135962636225,5.186721991701244,5.1894135962636225,250.0,0.13075557709860083,0.675
3721,20,SUV - STANDARD,3.0,6.0,AS8,Z,7.6,12.315270935960593,9.174311926605505,252.0,0.07969935719583567,0.5
3728,20,SUV - STANDARD,3.0,6.0,AS8,D,8.09,8.41,8.23,256.0,0.07969935719583567,0.5
3732,13,MID-SIZE,3.5,6.0,AS8,X,10.33,7.194244604316547,8.635578583765112,220.0,0.4616911152907516,0.5833333333333334
3743,16,COMPACT,1.4,4.0,AS6,X,24.390243902439025,5.017561465127948,8.928571428571427,98.0,0.31251434751127427,0.35
3744,1,SUV - SMALL,1.8,4.0,M6,X,7.390983000739099,38.167938931297705,11.60092807424594,182.0,0.3734598273946921,0.45
3747,8,MID-SIZE,3.6,6.0,AV6,X,5.181347150259067,10.76,6.765899864682003,231.0,0.16651708420640168,0.6
3758,16,PICKUP TRUCK - STANDARD,6.2,8.0,A6,Z,29.208544487946533,23.640661938534276,5.906674542232723,352.0,0.31251434751127427,0.775
3760,7,SUV - SMALL,2.4,4.0,A6,X,2.23,11.441647597254004,19.35817061629368,246.0,0.3722649650185522,0.6
3767,16,VAN - CARGO,5.3,8.0,A4,X,2.3917723032767277,54.43,4.198152812762385,375.0,0.31251434751127427,0.6625
3770,6,SUV - SMALL,3.3,6.0,AS6,X,4.549590536851683,6.13,5.1493305870236865,303.0,0.34317101657882515,0.5499999999999999
3776,18,MID-SIZE,3.6,6.0,AS8,X,13.72,19.68503937007874,15.89825119236884,257.0,0.40917622032231027,0.6
3779,16,FULL-SIZE,3.6,6.0,AS6,X,15.408320493066256,71.42857142857143,23.80952380952381,247.0,0.31251434751127427,0.6
3782,13,MID-SIZE,1.8,4.0,AS6,X,12.88,68.01,20.28397565922921,175.0,0.4616911152907516,0.45
3784,16,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,2.815315315315315,5.31,3.5701535166012137,288.0,0.31251434751127427,0.7166666666666667
3793,15,TWO-SEATER,2.0,4.0,M6,Z,4.926108374384237,5.627462014631401,5.216484089723526,204.0,0.2328061192239942,0.5
3799,17,SUV - STANDARD,2.0,4.0,AS10,X,3.50754121360926,11.11111111111111,5.07,324.0,1.0,0.5
3801,13,MID-SIZE,2.0,4.0,AS10,X,11.94,9.354536950420954,10.62,176.0,0.4616911152907516,0.5
3802,13,MID-SIZE,3.5,6.0,AS6,Z,12.61,5.1,7.587253414264037,265.0,0.4616911152907516,0.5833333333333334
3808,16,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,3.430531732418525,55.253300791512004,4.438526409232135,338.0,0.31251434751127427,0.6625
3809,5,COMPACT,3.6,6.0,A6,Z,9.174311926605505,10.92896174863388,9.88,296.0,0.18105332461859827,0.6
3810,17,VAN - PASSENGER,6.8,10.0,A5,X,20.833333333333336,10.845986984815617,14.69,377.0,1.0,0.6799999999999999
3817,1,COMPACT,2.0,4.0,M6,X,7.836990595611286,8.54,8.136696501220506,188.0,0.3734598273946921,0.5
3821,19,MID-SIZE,6.4,8.0,A8,Z,4.79,6.802721088435375,5.53,325.0,0.11778104235512704,0.8
3826,5,COMPACT,2.4,4.0,AM7,Z,8.98,11.95,10.11,181.0,0.18105332461859827,0.6
3829,6,COMPACT,1.6,4.0,M6,X,14.084507042253522,23.25581395348837,17.16,178.0,0.34317101657882515,0.4
3830,8,STATION WAGON - SMALL,2.0,4.0,M5,X,9.487666034155598,49.75124378109453,14.925373134328359,184.0,0.16651708420640168,0.5
3834,16,SUV - STANDARD,5.3,8.0,A6,X,6.238303181534622,14.749262536873156,8.424599831508004,324.0,0.31251434751127427,0.6625
3836,15,SUBCOMPACT,3.0,6.0,AS8,Z,9.12,22.5,12.453300124533003,225.0,0.2328061192239942,0.5
3838,15,SUBCOMPACT,4.4,8.0,M6,Z,38.92589391140263,8.333333333333334,5.991611743559017,324.0,0.2328061192239942,0.55
3839,21,TWO-SEATER,6.5,12.0,AM7,Z,45.648943803212376,66.66666666666667,9.70873786407767,443.0,0.13738198416456834,0.5416666666666666
3840,6,SUV - SMALL,2.4,4.0,AS8,X,8.741258741258742,6.0606060606060606,7.293946024799416,216.0,0.34317101657882515,0.6
3841,11,SUV - SMALL,2.0,4.0,AS8,Z,7.163323782234957,20.0,10.06036217303823,221.0,0.03366713263218451,0.5
3844,17,SUV - SMALL,2.5,4.0,AS6,X,16.420361247947454,5.649717514124294,8.849557522123895,220.0,1.0,0.625
3846,15,COMPACT,3.0,6.0,AS8,Z,6.439150032195751,16.10305958132045,8.82,237.0,0.2328061192239942,0.5
3849,8,MID-SIZE,3.6,6.0,AV6,X,3.966679888932963,30.48780487804878,6.52,242.0,0.16651708420640168,0.6
3855,13,SUV - SMALL,3.5,6.0,AS8,X,32.74188760374338,5.80046403712297,5.882352941176471,248.0,0.4616911152907516,0.5833333333333334
3857,2,SUV - SMALL,2.5,4.0,AS6,X,5.192107995846313,43.86754337714181,6.1462814996926864,216.0,0.0,0.625
3864,1,MID-SIZE,3.5,6.0,AS6,X,4.06669377795852,23.4192037470726,6.476683937823834,228.0,0.3734598273946921,0.5833333333333334
3865,14,SUV - STANDARD,3.0,6.0,A8,D,34.41191204330213,9.45,7.352941176470589,278.0,0.014703742880091549,0.5
3866,19,MINIVAN,3.6,6.0,A6,E,34.29320406998752,22.727272727272727,6.756756756756757,272.0,0.11778104235512704,0.6
3869,5,COMPACT,1.4,4.0,AS8,X,6.92,50.0,11.29,103.0,0.18105332461859827,0.35
3870,16,SUV - SMALL,2.0,4.0,A6,E,4.54,12.987012987012987,6.406149903907751,221.0,0.31251434751127427,0.5
3876,16,SUV - SMALL,6.4,8.0,A9,X,3.076923076923077,13.67,4.73,250.0,0.31251434751127427,0.8
3877,21,TWO-SEATER,5.2,10.0,AM7,Z,31.00129875124553,5.662514156285391,5.63,381.0,0.13738198416456834,0.52
3878,8,SUV - SMALL,3.6,6.0,AV6,X,12.903225806451612,60.803002482526324,11.96,248.0,0.16651708420640168,0.6
3884,11,STATION WAGON - SMALL,3.0,6.0,AS6,X,20.76945887507572,62.893081761006286,6.4935064935064934,247.0,0.03366713263218451,0.5
3886,2,SUV - SMALL,2.2,4.0,AS6,D,11.325028312570781,23.615556863619506,6.4935064935064934,218.0,0.0,0.55
3887,1,STATION WAGON - SMALL,1.6,4.0,M6,X,21.73913043478261,5.95,9.910802775024777,144.0,0.3734598273946921,0.4
3891,7,STATION WAGON - SMALL,3.0,6.0,AM6,X,22.727272727272727,21.02,21.93,164.0,0.3722649650185522,0.5
